Name,English,Translation,Restrictions,Comment
SpriteEditor_ColRectangle,Rectangle,矩形,,Sprite editor collision type
SpriteEditor_ColRectangleRotation,Rectangle with rotation,回転あり矩形,,Sprite editor collision type
SpriteEditor_ColMaskAutomatic,Automatic,自動,,Sprite editor automatic collision mask
SpriteEditor_ContextMenu_AddFrame,Add Frame,フレームの追加,,Sprite editor frame context menu
SpriteEditor_ContextMenu_Copy,Copy,コピー,,Sprite editor frame context menu
SpriteEditor_ContextMenu_Delete,Delete,削除,,Sprite editor frame context menu
SpriteEditor_ContextMenu_Paste,Paste,貼り付け,,Sprite editor frame context menu
SpriteEditor_ContextMenu_SelectAll,Select All,すべて選択,,Sprite editor frame context menu
SpriteEditor_EditImages,Edit Image,画像の編集,,Sprite editor open image editor button
SpriteEditor_EditMask,Edit Collision Mask,コリジョン マスクの編集,,Sprite editor open collision mask button
SpriteEditor_EnableWrap,Wrap Frames,フレームのラップ,,Sprite editor wrap frames toggle button caption
SpriteEditor_FPS,Speed:,速度:,,Sprite editor fps playback speed label
SpriteEditor_Import,Import,インポート,,Sprite editor import button
SpriteEditor_LabelFrameCount,Frame Count: {0},フレーム数: {0},,Sprite editor frame label
SpriteEditor_LabelOrigin,Origin Point:,原点:,,Sprite editor origin point label
SpriteEditor_LabelSize,Size:,サイズ:,,Sprite editor label size
SpriteEditor_W,W: {0},幅: {0},,Width label
SpriteEditor_H,H: {0},高さ: {0},,Height label
SpriteEditor_SWFPrecisionLabel,SWF Precision:,SWF の精度:,,SWF precision slider label
Sprite_Resize_Title,Resize Properties: {0},サイズ変更プロパティ: {0},,Resize properties title
Sprite_Resize_CurrentSize,Current,現在,,Current size of sprite label
Sprite_Resize_Preview,Preview,プレビュー,,Preview label
SpriteEditor_PreviewColMask,Preview Mask,マスク プレビュー,,Preview label
Sprite_Resize_ScaleImage,Scale Image,画像のスケール,,Scale label
Sprite_Resize_ResizeCanvas,Resize Canvas,キャンバス サイズの変更,,Resize label
Sprite_Resize_Width,Width:,幅:,,Width label
Sprite_Resize_Height,Height:,高さ:,,Height label
Sprite_Resize_MaintainAspect,Maintain Aspect Ratio:,アスペクト比の維持 :,,Maintain ratio label
Sprite_Resize_Origin,Apply to Origin,原点へ適用,,Also resize/scale sprite origin
Sprite_Resize_Origin_Tooltip,Apply the same transformation to the sprite's origin\nThis is only optional if the sprite origin is custom and unlocked,この変形をスプライトの原点にも適用します\nこのオプションは、原点がカスタムで、かつロックされていないときにのみ利用できます,,Sprite origin resize/scale tooltip
SpritePref_ResizeOrigin,Apply resize and scale to sprite origin,サイズ変更とスケールをスプライトの原点へ適用,,Sprite editor resize/scale origin preference
Sprite_Resize_Pixels,pixels,ピクセル,,Pixels label
SpriteResizeTilesetWarning_Label,Sprite is a tile set resource!,このスプライトはタイルセット リソースです！,,Tile set warning
SpriteResizeTilesetWarning,This sprite is a tile set and resizing will cause tile data to change. Do you want to continue anyway?,このスプライトはタイルセットであるため、サイズを変更するとタイルのデータも変更されます。続行しますか？,,Sprite resize tile set warning
Sprite_Resize_Percentage,%,%,,Percentage label
Sprite_Resize_ScaleIn,Scale In:,スケール単位:,,Scale in label
Sprite_Resize_ResizeIn,Resize In:,リサイズ単位:,,Resize in label
SpriteEditor_Name,Name:,名前:,,Sprite editor name label
SpriteEditor_Origin,Origin:,原点:,,Sprite editor origin label
SpriteEditor_Origin_BottomLeft,Bottom Left,左下,,Sprite editor origin combo menu item
SpriteEditor_Origin_BottomMiddle,Bottom Center,下中央,,Sprite editor origin combo menu item
SpriteEditor_Origin_BottomRight,Bottom Right,右下,,Sprite editor origin combo menu item
SpriteEditor_Origin_CentreLeft,Middle Left,左中央,,Sprite editor origin combo menu item
SpriteEditor_Origin_CentreMiddle,Middle Center,中央,,Sprite editor origin combo menu item
SpriteEditor_Origin_CentreRight,Middle Right,右中央,,Sprite editor origin combo menu item
SpriteEditor_Origin_Custom,Custom,カスタム,,Sprite editor origin combo menu item
SpriteEditor_Origin_TopLeft,Top Left,左上,,Sprite editor origin combo menu item
SpriteEditor_Origin_TopMiddle,Top Center,上中央,,Sprite editor origin combo menu item
SpriteEditor_Origin_TopRight,Top Right,右上,,Sprite editor origin combo menu item
SpriteEditor_Play,Play Animation,アニメーションの再生,,Sprite editor play animation button
SpriteEditor_PlaybackOptions,Playback Options,再生オプション,,Sprite editor playback options label
SpriteEditor_PreviewFrameRanges,Previewing Frames: ,プレビューしているフレーム: ,,Sprite editor label for displaying previewed frame ranges
SpriteEditor_ShowingColMask,Showing Collision Mask,コリジョン マスクを表示しています,,Sprite editor label when showing collision mask over sprite
SpriteEditor_TextureGroup,Group,グループ,,Sprite editor texture group label
SpriteEditor_TextureSettings,Texture Settings:,テクスチャー設定:,,Sprite editor texture settings label
SpriteEditor_TileHor,Tile Horizontally,水平に並べて表示,,Sprite editor tile hor label
SpriteEditor_Tile_Tooltip,Tile Horizontally and Tile Vertically relate to how the edges of the image will be\ncreated when placed on the texture page. An image that is to be tiled will have the edges (horizontal or vertical)\nadded to by the edges from the opposite side.,水平に並べて表示 と 垂直に並べて表示 は、スプライトがテクスチャー ページへ配置されるときに\n画像の端部分がどのように作成されるかに関係します。画像を並べて表示する場合は、\n端の部分へ (水平または垂直方向の) 反対側にある端が追加されます。,,Tiling tooltip
SpriteEditor_TileVer,Tile Vertically,垂直に並べて表示,,Sprite editor tile ver label
SpriteEditor_Tolerance,Tolerance,許容値,,Sprite editor alpha tolerance slider label
SpriteEditor_Use3D,Separate Texture Page,テクスチャー ページの分割,,Sprite editor use for 3D label
SpriteEditor_WindowTitle,Sprite: {0},スプライト: {0},,Sprite editor window title
StartPage_Error,Start page failed to load.\nYou can create new projects from the File menu.,スタート ページを読み込めませんでした。\nファイル メニューから新しくプロジェクトを作成できます。,,Start page error text
StartPage_ErrorTitle,An Error Occurred,エラーが発生しました,,Start page error title
StartPage_Title,Start Page,スタート ページ,,Start page title
StripDialog_NumberOfImages,Number of Frames,フレーム数,,strip dialog frame count
StripDialog_ImagesPerRow,Frames per Row,行ごとのフレーム数,,strip dialog frames per row
StripDialog_ImageWidth,Frame Width,フレームの幅,,strip dialog frame width
StripDialog_ImageHeight,Frame Height,フレームの高さ,,strip dialog frame height
StripDialog_HCellOffset,Horizontal Cell Offset,水平方向のセル オフセット,,strip dialog horizontal cell offset
StripDialog_VCellOffset,Vertical Cell Offset,垂直方向のセル オフセット,,strip dialog vertical cell offset
StripDialog_HPixelOffset,Horizontal Pixel Offset,水平方向のピクセル オフセット,,strip dialog horizontal pixel offset
StripDialog_VPixelOffset,Vertical Pixel Offset,垂直方向のピクセル オフセット,,strip dialog vertical pixel offset
StripDialog_HSeparation,Horizonal Separation,水平方向の分割,,strip dialog horizontal separation
StripDialog_VSeparation,Vertical Separation,垂直方向の分割,,strip dialog vertical separation
StripDialogTitle,Create from Strip,スプライト シートから作成,,strip image import dialog title
StripImportWarning,Importing strip images will replace the existing sprite frames - do you wish to proceed?,スプライト シートをインポートすると、既存のスプライト フレームが置き換えられます。続行しますか？,,strip image import warning
StyleManager_DuplicateStyle,"Duplicate style '{0}' found, it will be discarded as overwrite is set to false",重複するスタイル '{0}' が見つかりました。上書きが false に設定されているため、破棄されます,,Log message for when loading a duplicate style name with 'overwrite' set to false
StyleManager_ICloneableFail,Failed to clone style value object of type '{0}' object class must implement ICloneable interface,'{0}' 型のスタイル値オブジェクトを複製できませんでした。オブジェクト クラスは ICloneable インターフェースを継承する必要があります,,exception message when attempting to clone an uncloneable object
StyleManager_ICollectionCloneFail,Failed to clone style value object of type '{0}' collection types must have a bespoke deep clone implemented,'{0}' 型のスタイル値オブジェクトを複製できませんでした。コレクション型はそれぞれ専用のディープ クローンを実装する必要があります,,exception message when attempting to clone an ICollection which doesn't have a deep clone available
TabControl_AddTab,Add New Tab,タブの新規追加,,Add a new tab to the tab control context menu entry
TabControl_AddTabAfter,Add New Tab After '{0}',タブを '{0}' のうしろへ新規追加,,Add a new tab to the tab control context menu entry after the active tab
TabControl_MoveTabBack,Move Tab '{0}' Back,タブ '{0}' をうしろへ移動,,Move the tab back one space context menu entry
TabControl_MoveTabForward,Move Tab '{0}' Forward,タブ '{0}' を前へ移動,,Move the tab forward one space context menu entry
TextEditor_Clear,Clear,クリア,,Clear TextEditor context menu entry
TextEditor_Copy,Copy,コピー,,Text editor copy command
TextEditor_Cut,Cut,切り取り,,Text editor cut command
TextEditor_Paste,Paste,貼り付け,,Text editor paste command
TextEditor_SelectAll,Select All,すべて選択,,Select All context menu entry on Text Editor
TextEditor_CommentSelection,Comment Selection,選択範囲のコメント化,,text editor context menu comment selection
TextEditor_UncommentSelection,Uncomment Selection,選択範囲のコメント解除,,text editor context menu uncomment selection
TextEditor_TabIn,Tab In,タブ追加,,text editor context menu tab in selection
TextEditor_TabOut,Tab Out,タブ削除,,text editor context tab out selection
TextEditor_StatusText,{0}/{1} Col:{2} Ch:{3},{0}/{1} 行:{2} 文字:{3},,text editor status bar column character
TextEditor_RegionsMenu,Regions,折りたたみ,,text editor regions menu
TextEditor_FoldAllRegions,Fold All Regions,すべての折りたたみを格納,,fold all regions context menu entry
TextEditor_UnfoldAllRegions,Unfold All Regions,すべての折りたたみを展開,,unfold all regions context menu entry
TextEditor_ToggleFold,Fold/Unfold region,折りたたみの格納/展開,,text editor toggle region fold
TextEditor_PreviousRegion,Previous Region,前の折りたたみ,,text editor previous region menu entry
TextEditor_NextRegion,Next Region,次の折りたたみ,,text editor next region menu entry
TextEditor_CodeSnippets,Code Snippets,コード スニペット,,Code snippets context menu entry
TextureGroups_ActiveGroup,Current Group:,現在のグループ:,,Texture group current group
TextureGroups_AddNew,Add New,新規追加,,Texture group add new button
TextureGroups_AllowScaling,Allow Scaling,スケーリングの許可,,Texture group allow scaling checkbox
TextureGroups_AutoCrop,Automatically Crop,自動でクロップ,,Texture group auto cropping checkbox
TextureGroups_MipMap,Generate mipmaps,ミップマップの生成,,Texture group mipmap generation checkbox
TextureGroups_Backgrounds,Tilesets,タイルセット,,Texture group backgrounds header
TextureGroups_BorderSize,Border Size:,境界のサイズ:,,Texture group border size label
TextureGroups_Delete,Delete,削除,,Texture group delete button
TextureGroups_FindResource,Add Resource,リソースの追加,,Texture group find resource label
TextureGroups_Fonts,Fonts,フォント,,Texture group fonts header
TextureGroups_List_Backgrounds,Backgrounds,背景,,Texture group list category
TextureGroups_List_Fonts,Fonts,フォント,,Texture group list category
TextureGroups_List_Sprites,Sprites,スプライト,,Texture group list category
TextureGroups_NoResources,This group is empty.,このグループは空です。,,Texture groups label when a sub-tree is empty
TextureGroups_ParentTexGorup,Parent Texture Group,親テクスチャー グループ,,Texture group parent texture group label
TextureGroups_Remove,Remove,削除,,Texture group remove menu entry
TextureGroups_Rename,Rename,名前の変更,,Texture group rename button
TextureGroups_SettingsLabel,Group Settings,グループ設定,,Texture group settings label
TextureGroups_Sprites,Sprites,スプライト,,Texture group sprites header
TextureGroups_TargetPlatforms,Use Group On...,グループを使用するターゲット...,,Texture group target platforms label
TextureGroups_TypeFindResource,Type to find resource,種類を指定してリソースを探す,,Texture group manager tooltip
TextureGroups_WindowTitle,Texture Groups,テクスチャー グループ,,Texture groups window title
TextureGroups_Menu_MoveTo,Move To,移動...,,Texture groups context menu button
TexGroups_EditResource,Edit...,編集...,,Texture groups window edit resource button
AudioGroups_ActiveGroup,Current Group:,現在のグループ:,,Audio group current group
AudioGroups_AddNew,Add New,新規追加,,Audio group add new button
AudioGroups_Delete,Delete,削除,,Texture group delete button
AudioGroups_FindResource,Add Resource,リソースの追加,,Audio group find resource label
AudioGroups_NoResources,This group is empty.,このグループは空です。,,Audio groups label when a sub-tree is empty
AudioGroups_Remove,Remove,削除,,Audio group remove menu entry
AudioGroups_Rename,Rename,削除,,Audio group rename button
AudioGroups_TargetPlatforms,Use Group On...,グループを使用するターゲット...,,Audio group target platforms label
AudioGroups_TypeFindResource,Type to find resource,種類を指定してリソースを探す,,Audio group manager tooltip
AudioGroups_WindowTitle,Audio Groups,オーディオ グループ,,Audio groups window title
TextureAudioGroups_SelectResource,Select Resource,リソースの選択,,Asset explorer title
AudioGroups_EditResource,Edit...,編集...,,Audio groups window edit resource button
TileLayer_TileDataSize,Tile Data Size,タイル データ サイズ,,tile layer properties caption for the data size drop down box
TileSetEditor_EditImage,Edit Image,画像の編集,,tile set editor edit image button caption
TileSetEditor_Name,Name:,名前:,,tile set editor name textbox caption
TileSetEditor_NoSprite,No Sprite Selected,スプライトが選択されていません,,message to be shown when the user has not selected a sprite in the tile set editor window
TileSetEditor_OffsetX,Tile Offset X,タイル オフセット X,,tile set editor x offset numeric textbox caption
TileSetEditor_OffsetY,Tile Offset Y,タイル オフセット Y,,tile set editor y offset numeric textbox caption
TileSetEditor_OutBorderX,Output Border X,出力境界 X,,tile set editor label for the output border x setting
TileSetEditor_OutBorderY,Output Border Y,出力境界 Y,,tile set editor label for the output border y setting
TileSetEditor_AnimationSpeed_ToolTip,Animation Speed: Frames Per Second,アニメーション速度: フレーム毎秒,,tile set editor tooltip for the animation speed setting
TileSetEditor_AnimationSpeed,FPS,FPS,,tile set editor label for the animation speed setting
TileSetEditor_AddAnimationButton,Add Anim,アニメーションの追加,,label for the tile set editor button to add a new animation
TileSetEditor_DeleteAnimationButton,Delete Anim,アニメーションの削除,,label for the tile set editor button to delete the currently selected animation
TileSetEditor_AnimationTileBGColour,The background colour that should be shown behind animation frames,アニメーション フレームのうしろへ表示される色,,preferences message for the background colour that should be shown behind animation frames
TileSetEditor_AutoTilingTileBGColour,Auto tile background colour,オートタイルの背景色,,preferences message for the background colour that should be shown behind autotiling tiles
TileSetEditor_DeleteAutoTileSetButton,Delete,削除,,label for the tile set editor button to delete the currently selected set of auto tiles
TileSetEditor_AddFullAutoTileSetButton,47 Tiles,47 タイル,,Label for the button to create a 47 tile autotile set
TileSetEditor_AddTransitionAutoTileSetButton,16 Tiles,16 タイル,,Label for the button to create a 16 tile autotile set
TileSetEditor_ShowAutoTileGuideButton,Show Guide,ガイドの表示,,Label for the button to show the AutoTile guide
TileSetEditor_SelectedTileBrush,Brush:,ブラシ:,,Label for the currently selected tile editing brush
TileSetEditor_SelectedTileTool,Tool:,ツール:,,Label for the currently selected tile editing tool
TileSetEditor_SeparationX,Tile Separation X,タイル セパレーター X,,tile set editor x separation numeric textbox caption
TileSetEditor_SeparationY,Tile Separation Y,タイル セパレーター Y,,tile set editor y separation numeric textbox caption
TileSetEditor_TileHeight,Tile Height,タイルの高さ,,tile set editor height numeric textbox caption
TileSetEditor_TileSize,Tile Size,タイル サイズ,,tile set editor size numeric textbox caption
TileSetEditor_TileWidth,Tile Width,タイルの幅,,tile set editor width numeric textbox caption
TileSetEditor_Title,Tile Set: {0},タイルセット: {0},,tile set editor window title
TileSetEditor_UseAsTileSet,Use As Tileset,タイルセットとして使用,,tile set editor use as tileset checkbox caption
TileSetGenerator_Complete,Tile Set: Image generated for '{0}',タイルセット: '{0}' の画像を生成しました,,console output message for when a tile set image has been generated
TimeLine_BtnAdd,Add,追加,,Add button caption for timeline editor
TimeLine_BtnChange,Change,変更,,Change button caption for timeline editor
TimeLine_BtnClear,Clear,クリア,,Clear button caption for timeline editor
TimeLine_BtnDuplicate,Duplicate,複製,,Duplicate button caption for timeline editor
TimeLine_BtnMerge,Merge,統合,,Merge button caption for timeline editor
TimeLine_BtnRemove,Remove,削除,,Remove button caption for timeline editor
TimeLine_BtnShift,Shift,シフト,,Shift button caption for timeline editor
TimeLine_ContextMenu_Add,Add,追加,,Time line context menu entry
TimeLine_ContextMenu_ClearSelection,Unselect All,すべて選択解除,,Time line context menu entry
TimeLine_ContextMenu_CopyMoments,Copy,コピー,,Time line context menu entry
TimeLine_ContextMenu_CutMoments,Cut,切り取り,,Time line context menu entry
TimeLine_ContextMenu_Duplicate,Duplicate,複製,,Time line context menu entry
TimeLine_ContextMenu_Edit,Edit,編集,,Time line context menu entry
TimeLine_ContextMenu_EditStep,Change Moment,モーメントの変更,,Time line editor context menu entry
TimeLine_ContextMenu_Merge,Merge,統合,,Time line context menu entry
TimeLine_ContextMenu_PasteMoments,Paste,貼り付け,,Time line context menu entry
TimeLine_ContextMenu_RemoveMoments,Remove,削除,,Time line context menu entry
TimeLine_ContextMenu_SelectAll,Select All,すべて選択,,Time line context menu entry
TimeLine_ListBox_Step,Step,ステップ,,Time line moments listbox step label
TimeLine_Moments,Moment,モーメント,,Time line column header for moments
TimeLine_Name,Name:,名前:,,Time line editor name label
TimeLine_Names,Description,説明,,Time line editor names caption
TimeLine_WindowTitle,Timeline: {0},タイムライン: {0},,Time line editor window caption
TimeLine_WindowTitle_CodeEditor,Timeline Moments: {0},タイムライン モーメント: {0},,Time line code editor window title
TimeLine_ConvertType,Convert to {0},{0} へ変換,,Change the event from DnD™ to script or from script to DnD™
TreeView_AddChildNode,Add Child Node,子ノードの追加,,context menu option to add a child node
TreeView_AddNode,Add Node,ノードの追加,,context menu option to add a node
TreeView_AddNodeAfter,Add Node After,うしろへノードを追加,,context menu option to add a node after
TreeView_AddNodeBefore,Add Node Before,前へノードを追加,,context menu option to add a node before
TreeView_MoveNodeDown,Move Node Down,ノードを下へ移動,,context menu option to move the node down
TreeView_MoveNodeUp,Move Node Up,ノードを上へ移動,,context menu option to move the node up
UndoAction_AmbigousPropertyMatch,"Failed to store undo property '{0}': \nMultiple potential properties found, does this property use the 'new' keyword?",元に戻すプロパティ '{0}' の保存に失敗しました: \n複数の潜在的なプロパティが見つかりました。このプロパティが 'new' キーワードを使用していませんか？,,Log error message for undo failing to store a property
UpdateDialogDownloadNow,Download now,ダウンロードする,,Update new version dialog - download now button
UpdateDialogRemindMe,Remind me later,あとで通知,,Update new version dialog - remind me later button
UpdateDialogLabel,New version is available! \nYou are on v{0}\nNew version is {1},新しいバージョンが利用可能です！ \n現在のバージョンは v{0}\n新しいバージョンは {1},,Update new version dialog - tell user which version they are on and which version update will take them to
UpdateDialogReleaseNotes,View Release notes,リリース ノートを見る,,Update new version dialog - view release notes button
UpdateDialogTitle,New Version,新しいバージョン,,Update new version dialog title
User_Login,Login,ログイン,,Login button
User_Register,Register,登録,,User Login dialog - Register button
User_Login_Title,YoYo Account Login,YoYo Account へログイン,,User Login dialog
UserLogin_Email,Email/Username,メールアドレス/ユーザー名,,User Login dialog - e-mail label
UserLogin_Password,Password,パスワード,,User Login dialog - password label
UserLogin_RememberMe,Remember Me,記憶する,,User Login dialog - Remember Me checkbox
User_ProxySettings,Proxy settings,プロキシ設定,,Proxy setting tool-tip
User_Authentication,Two Step Authentication,2段階認証,,User Login - two step authentication title
User_OK,OK,OK,,User Login - two step authentication ok button
User_AuthenticationCode,Authentication Code,認証コード,,User Login - two step authentication label for the authentication code
UserLogin_Retry,Retry,リトライ,,User Login - Error Retry
UserLogin_MaxDevice,Maximum logins exceeded \nYou can manage your account sessions at accounts.yoyogames.com,最大ログイン数を超えました \nアカウントのセッションは accounts.yoyogames.com で管理できます,,User Login Error response 29
UserLogin_Error34,Invalid session (User),無効なセッションです (ユーザー),,User Login Error response 34
UserLogin_Error36,Two-step login required,ログインに2段階認証が必要です,,User Login Error response 36
UserLogin_Error37,Required fields missing,必要な欄が欠けています,,User Login Error response 37
UserLogin_Error38,User is banned,ユーザーが BAN されています,,User Login Error response 38
UserLogin_Error39,Authentication failed. Please verify your username and password and try again.,認証できませんでした。ユーザー名とパスワードを確認して再度試してみてください。,,User Login Error response 39
UserLogin_Error40,User not found,ユーザーがありません,,User Login Error response 40
UserLogin_Error44,Device ID mismatch,デバイス ID が一致しません,,User Login Error response 44
UserLogin_Error45,Two-step code invalid,2段階認証のコードが無効です,,User Login Error response 45
UserLogin_Error47,Session not found,セッションが見つかりません,,User Login Error response 47
UserLogin_Error48,Login successful,ログインに成功しました,,User Login Error response 48
UserLogin_Error54,No beta access,ベータ アクセスがありません,,User Login Error response 48
UserLogin_Error58,Session has expired,セッションの期限切れです,,User Login Error response 58
UserLogin_Error69,No licence found. Please try again later or contact the helpdesk.,ライセンスが見つかりませんでした。再度試してみるか、ヘルプデスクまで連絡してください。,,user login response 69
UserLogin_Error99,Errors creating session,セッションの生成エラーです,,User Login Error response 99
UserLogin_Error88,Please complete your profile to continue.,続行するにはプロフィールをすべて入力してください。,,User Login Error response 88 (profile incomplete)
UserLogin_EditProfile,Update Profile,プロファイルの更新,,user login edit profile button
UserLogin_ProfileIncomplete,Profile Incomplete,未入力のプロファイル,,user login incomplete profile title
UserLogin_NoRuntime,Unable to access the Runtime Feed and no local Runtime installed. Please check your internet connection and start GameMaker Studio 2 again.,ランタイム フィードへアクセスできず、またローカル ランタイムがインストールされていません。インターネット接続を確認し、GameMaker Studio 2 を再起動してください。,,user login no runtime message
UserLogin_InstallRuntimeTitle,Install Runtime {0},ランタイム {0} のインストール,,install runtime title
UserLogin_RuntimeSpaceWarningMessage,Destination drive {0} has only {1} GB free space available.\nAt least 2 GB of free space is recommended - please ensure there is enough free space available before proceeding.,該当のドライブ {0} の空き容量が {1} GB しかありません。\n少なくとも 2 GB の空き容量が推奨されます。続行する前に、十分な空き容量があるかどうかを確認してください。,,runtime free space warning message
UserLogin_Continue,Continue,続行,,continue label
Validate_MaxLength,{0} - Length should be less than {1},{0} - 長さは {1} より短くしてください,,Failed validation by passing an object whose length is too long
Validate_MinLength,{0} - Length should be greater than {1},{0} - 長さは {1} より長くしてください,,Failed validation by passing an object whose length is too short
Validate_MVCType,{0} - Object should be of type {2}{1},{0} - オブジェクトは {2}{1} 型でなければなりません,,Failed validation by passing an object of the wrong type
Validate_MVCType_OrInherits,or inherit from ,または継承する:,,Injected to requested error message if the validation is checking parent type
Validate_MVCTypeList,{0} - List should only contain objects of type {2}{1},{0} - 一覧には {2}{1} 型のオブジェクトのみを含める必要があります,,Failed validation by passing a list containing objects of the wrong type
Validate_Range,{0} - Value must be within range {1} - {2},{0} - 値は {1} ～ {2} の範囲である必要があります,,Failed validation for value range
Validate_Required,{0} - Value cannot be null,{0} - 値は null 非許容です,,Failed validation by passing a null value to a required property
Validate_StringLength,{0} - String length is invalid must be between {1} and {2} characters,{0} - 文字列の長さが無効です。{1} ～ {2} 文字である必要があります,,Failed validation for string length
Validate_UniqueLayerName,Failed to set layer name '{0}' it is not unique within room,レイヤー名 '{0}' を設定できませんでした。すでにルーム内に同じ名前が存在しています,,validation error message for non-unique layer name
Validate_UniqueName,Failed to set property on model '{0}' name is not unique,モデル '{0}' を設定できませんでした。すでに同じモデルが存在しています,,validation error message for non-unique resource name
Validate_ImageLayerName,Layer name cannot be blank,レイヤー名は空にすることができません,,validation error message for image layer name
View_Menu_Bookmarks,Bookmarks,ブックマーク,,Bookmarks menu item
View_Menu_Breakpoints,Breakpoints,ブレークポイント,,View breakpoints menu item
View_Menu_GlobalGameSettings,Global Game Settings,ゲーム全般の設定,,View the Global Game Settings menu item
View_Menu_OutputWindow,Output Window,出力ウィンドウ,,View output window menu item
Views_Menu_History,History,履歴,,Views menu entry for undo history
Views_Menu_Output,Output,出力,,Views menu entry for the output panel
Views_Menu_Worker,Build Worker,ビルド ワーカー,,Views menu entry for the build worker window
Views_Menu_Resources,Resources,リソース,,Views menu entry for resources
Views_Menu_Tutorial,Tutorial Windows,チュートリアル ウィンドウ,,Views menu entry for tutorial windows
Views_Menu_SearchResults,Search Results,検索結果,,Views menu entry for the search results panel
Views_Menu_SourceControl,Source Control Output,ソース管理の出力,,Views menu entry for the source control output window
Views_Menu_Breakpoints,Breakpoints,ブレークポイント,,Views menu entry for the breakpoints window
Views_Menu_CompileErrors,Compile Errors,コンパイル エラー,,Views menu entry for the compile errors window
Views_Menu_Macros,IDE Environment Variables,IDE の環境変数,,View Macros window
Window_Close,Close,閉じる,,Close window context menu entry
Window_Minimize,Minimize,最小化,,Minimize window context menu entry
TimeLine_MergeWarning,Merging moments is a permanent action that cannot be undone. Are you sure you want to continue?,モーメントの結合は元に戻すことができません。続行しますか？,,Merge warning for time lines
TimeLine_MergeWarningTitle,Merge Moments,モーメントの結合,,Merge moments warning dialog title
TimeLine_DeleteWarning,Deleting moments is a permanent action that cannot be undone. Are you sure you want to continue?,モーメントの削除は元に戻すことができません。続行しますか？,,Delete warning for time lines
TimeLine_DeleteWarningTitle,Delete Moments,モーメントの削除,,Delete moments warning dialog title
Workspace_TabTitle,Workspace {0},ワークスペース {0},,The default tab name for workspace tabs
Dock_TabTitle,Dock Tab{0},ドック タブ {0},,the default tab name for dock tabs
RoomEditor_InvalidDragGadget,"The selected layer does not accept the dragged resources, please select an appropriate layer type, ie. object -> instance layer, sprite -> asset or background layer, path -> path layer","選択しているレイヤーは、ドラッグしたリソースに対応していません。適切なレイヤーの種類を選択してください。例: オブジェクト -> インスタンス レイヤー, スプライト -> アセット レイヤーまたは背景レイヤー, パス -> パス レイヤー",, Information warning for dropping resource gadgets on a layer which won't accept them
Dock_FloatingDock_Title,Floating Dock,ドックの切り離し,,floating dock window title
RoomEditor_InvalidDragLayers,"Unable to drag resources into room, ensure one layer is selected",リソースをルームへドラッグできません。1つのレイヤーが選択されているかどうか確認してください,, Information warning for dropping resource gadgets on the room but layer selection is invalid
RoomEditor_InvalidDragLayerFrozenOrInvisible,"Unable to drag resources into room, ensure selected layer '{0}' is unlocked and visible",リソースをルームへドラッグできません。レイヤー '{0}' がロックされておらず、かつ表示されているかどうかを確認してください,,Information warning for dropping resource gadgets on a locked or invisible selected layer
RoomEditor_InvalidTileSet,The selected tile set has no associated sprite please select a valid tile set,選択されているタイルセットにはスプライトが割り当てられていません。有効なタイルセットを選択してください,,message to be shown when the user has selected a tileset that is not valid (ie. no sprite selected)
RoomEditor_NoTilesetMessage,Your tile set preview will appear here when you select a tile set,タイルセットを選択すると、ここへタイルセットのプレビューが表示されます,,message to be shown when the user has not selected a tile set
RoomEditor_NoLayer,No Tile Layer Selected,タイルレイヤーが選択されていません,, message to be shown when the user has not selected a tile layer
InvalidName_NameInUse,"Invalid name, already in use: {0}. Names must be unique.",無効な名前です。{0} はすでに使用されています。名前は一意でなければなりません。,,Name not unique message
InvalidName_KeywordReserved,"Invalid name, reserved keyword: {0}.",無効な名前です。{0} は予約語です。,,Name is a reserved keyword message
InvalidName_InvalidCharacters,"Invalid name, contains invalid characters: {0}. Should only contain 0-9, a-z, A-Z or _ and not start with 0-9.",無効な名前です。{0} には無効な文字が含まれています。使用できる文字は 0-9、a-z、A-Z または _ のみであり、また 0-9 で始まってはなりません。,,Name contains invalid characters message
InvalidName_InvalidModel,Invalid model.,無効なモデルです。,,Invalid model message
InvalidMove_DuplicateChildName,Parent folder '{0}' already has a child folder with name '{1}'.,親フォルダー '{0}' には、すでに '{1}' という名前の子フォルダーが存在しています。,,Parent folders cannot have multiple child folder with the same name message
ResourceTree_View,View,ビュー,View,View
ResourceTree_Views,Views,ビュー,,Views selector button label
ResourceTree_View_Add,Add New View,ビューの新規追加,,Add New View Prompt
ResourceTree_View_Default,Default,Default,,default tag
ResourceTree_View_Cannot_Delete_Default,You cannot delete the default view.,デフォルトのビューを削除することはできません。,,You cannot delete the default view
ResourceTree_View_Title,Resource Tree,リソース ツリー,,Title for above message
ResourceTree_View_DuplicateName,A view with this name already exists. Views must be unique.,この名前のビューはすでに存在しています。ビューは一意でなければなりません。,,Duplicate name warning
ResourceTree_Filter, Filter Tree, フィルタリング,, 'Filter Tree' checkbox label
ResourceTree_WholeWord, Whole Word, 単語単位で検索,, 'Whole Word' checkbox label
ResourceTree_FindNext, Find Next, 次を検索,, 'Find Next' button label
ResourceTree_FindPrevious, Find Previous, 前を検索,, 'Find Previous' button label
ResourceTree_SearchResources,Search...,検索...,, default contents of the resource tree search resources box
ResourceTree_SearchOptions,Search Options,検索オプション,,Additional Search Options
